index,row,col,radius_px,diameter_px,stenosis
56,165,182,7.0710678118654755,14.142135623730951,0.4576738554533596
57,165,183,7.280109889280518,14.560219778561036,0.44164105999603365
58,165,184,7.0710678118654755,14.142135623730951,0.4576738554533596
59,164,185,7.211102550927978,14.422205101855956,0.44693368124502786
60,164,186,7.280109889280518,14.560219778561036,0.44164105999603365
61,164,187,7.0710678118654755,14.142135623730951,0.4576738554533596
62,163,188,7.0710678118654755,14.142135623730951,0.4576738554533596
63,163,189,7.280109889280518,14.560219778561036,0.44164105999603365
64,163,190,7.0710678118654755,14.142135623730951,0.4576738554533596
65,162,191,7.0710678118654755,14.142135623730951,0.4576738554533596
66,162,192,7.280109889280518,14.560219778561036,0.44164105999603365
67,162,193,7.0710678118654755,14.142135623730951,0.4576738554533596
68,161,194,7.0,14.0,0.4631245078068408
69,161,195,7.0,14.0,0.4631245078068408
70,161,196,7.0,14.0,0.4631245078068408
71,161,197,7.0710678118654755,14.142135623730951,0.4576738554533596
72,161,198,7.0,14.0,0.4631245078068408
73,161,199,7.0,14.0,0.4631245078068408
74,161,200,7.0,14.0,0.4631245078068408
75,161,201,7.0,14.0,0.4631245078068408
76,161,202,7.0,14.0,0.4631245078068408
77,161,203,7.0,14.0,0.4631245078068408
78,161,204,7.0,14.0,0.4631245078068408
79,161,205,7.0,14.0,0.4631245078068408
80,160,206,7.0710678118654755,14.142135623730951,0.4576738554533596
81,160,207,7.280109889280518,14.560219778561036,0.44164105999603365
82,160,208,7.0710678118654755,14.142135623730951,0.4576738554533596
83,159,209,7.0,14.0,0.4631245078068408
84,159,210,7.0,14.0,0.4631245078068408
85,159,211,7.0,14.0,0.4631245078068408
86,159,212,7.0710678118654755,14.142135623730951,0.4576738554533596
87,159,213,7.0710678118654755,14.142135623730951,0.4576738554533596
88,159,214,6.708203932499369,13.416407864998739,0.48550424457247354
89,158,215,7.211102550927978,14.422205101855956,0.44693368124502786
90,158,216,6.708203932499369,13.416407864998739,0.48550424457247354
91,157,217,7.211102550927978,14.422205101855956,0.44693368124502786
92,156,218,6.708203932499369,13.416407864998739,0.48550424457247354
93,156,219,7.0710678118654755,14.142135623730951,0.4576738554533596
94,155,220,7.0710678118654755,14.142135623730951,0.4576738554533596
95,154,221,7.0710678118654755,14.142135623730951,0.4576738554533596
96,153,222,7.0710678118654755,14.142135623730951,0.4576738554533596
97,152,223,7.211102550927978,14.422205101855956,0.44693368124502786
98,151,224,7.615773105863909,15.231546211727817,0.41589686647969837
99,150,225,8.06225774829855,16.1245154965971,0.3816530575991578
100,149,226,8.48528137423857,16.97056274847714,0.3492086265440316
101,148,227,8.48528137423857,16.97056274847714,0.3492086265440316
102,147,228,8.48528137423857,16.97056274847714,0.3492086265440316
103,146,229,8.602325267042627,17.204650534085253,0.34023176975011993
104,145,230,8.48528137423857,16.97056274847714,0.3492086265440316
105,144,231,8.48528137423857,16.97056274847714,0.3492086265440316
106,143,232,8.06225774829855,16.1245154965971,0.3816530575991578
107,142,232,7.810249675906654,15.620499351813308,0.4009811944423075
108,141,233,7.810249675906654,15.620499351813308,0.4009811944423075
109,140,234,7.810249675906654,15.620499351813308,0.4009811944423075
110,139,235,7.615773105863909,15.231546211727817,0.41589686647969837
111,138,236,7.211102550927978,14.422205101855956,0.44693368124502786
112,137,236,7.211102550927978,14.422205101855956,0.44693368124502786
113,136,237,7.615773105863909,15.231546211727817,0.41589686647969837
114,135,238,7.810249675906654,15.620499351813308,0.4009811944423075
115,134,239,7.810249675906654,15.620499351813308,0.4009811944423075
116,133,239,8.246211251235321,16.492422502470642,0.3675444679663241
117,132,240,8.48528137423857,16.97056274847714,0.3492086265440316
118,131,240,8.94427190999916,17.88854381999832,0.3140056594299646
119,130,240,9.0,18.0,0.30973151003736665
120,129,241,9.219544457292887,18.439088914585774,0.29289321881345254
121,128,241,9.899494936611665,19.79898987322333,0.24074339763470343
122,127,241,9.848857801796104,19.697715603592208,0.24462708858861149
123,126,242,10.295630140987,20.591260281974,0.21036121437412547
124,125,243,10.63014581273465,21.2602916254693,0.1847050335290048
125,124,244,10.63014581273465,21.2602916254693,0.1847050335290048
126,123,245,10.816653826391969,21.633307652783937,0.17040052186754173
127,122,246,11.180339887498949,22.360679774997898,0.1425070742874558
128,121,247,11.313708498984761,22.627416997969522,0.13227816872537534
129,120,248,11.180339887498949,22.360679774997898,0.1425070742874558
130,120,249,10.816653826391969,21.633307652783937,0.17040052186754173
131,119,250,10.770329614269007,21.540659228538015,0.1739534267509668
132,119,251,10.770329614269007,21.540659228538015,0.1739534267509668
133,119,252,10.295630140987,20.591260281974,0.21036121437412547
134,119,253,9.848857801796104,19.697715603592208,0.24462708858861149
135,119,254,9.486832980505138,18.973665961010276,0.2723931248910011
136,119,255,9.219544457292887,18.439088914585774,0.29289321881345254
137,119,256,8.54400374531753,17.08800749063506,0.3447048262760649
138,120,257,8.0,16.0,0.3864280089221037
139,120,258,7.0710678118654755,14.142135623730951,0.4576738554533596
140,120,259,6.082762530298219,12.165525060596439,0.5334734103788623
141,120,260,5.0990195135927845,10.198039027185569,0.6089230555624786
142,120,261,4.123105625617661,8.246211251235321,0.683772233983162
143,120,262,3.1622776601683795,6.324555320336759,0.757464374963667
144,120,263,2.23606797749979,4.47213595499958,0.8285014148574912
